symbol,period,balance_identity,gross_profit_decomposes,cf_sums_to_net,cf_internal_roll,total_liabilities_identity,net_income_parent_identity,issuance_nonneg
ACG,2018,True,True,True,True,True,True,True
ACG,2019,True,True,True,True,True,True,True
ACG,2020,True,True,True,True,True,True,True
ACG,2021,True,True,True,True,True,True,True
ACG,2022,True,True,True,True,True,True,True
ACG,2023,True,True,True,True,True,True,True
ACG,2024,True,True,True,True,True,True,True
ACG,2025,True,True,True,True,True,True,True
ACL,2009,True,True,True,True,True,True,True
ACL,2010,True,True,True,True,True,True,True
ACL,2011,True,True,True,True,True,True,True
ACL,2012,True,True,True,True,True,True,True
ACL,2013,True,True,True,True,True,True,True
ACL,2014,True,True,True,True,True,True,True
ACL,2015,True,True,True,True,True,True,True
ACL,2016,True,True,True,True,True,True,True
ACL,2017,True,True,True,True,True,True,True
ACL,2018,True,True,True,True,True,True,True
ACL,2019,True,True,True,True,True,True,True
ACL,2020,True,True,True,True,True,True,True
ACL,2021,True,True,True,True,True,True,True
ACL,2022,True,True,True,True,True,True,True
ACL,2023,True,True,True,True,True,True,True
ACL,2024,True,True,True,True,True,True,True
ACL,2025,True,True,True,True,True,True,True
ACM,2014,True,True,True,True,True,True,True
ACM,2016,True,True,True,True,True,True,True
ACM,2017,True,True,True,True,True,True,True
ACM,2018,True,True,True,True,True,True,True
ACM,2019,True,True,True,True,True,True,True
ACM,2020,True,True,True,True,True,True,True
ACM,2022,True,True,True,True,True,True,True
ACS,2016,True,True,True,True,True,True,True
ACS,2017,True,True,True,True,True,True,True
ACS,2018,True,True,True,True,True,True,True
ACS,2019,True,True,True,True,True,True,True
ACS,2020,True,True,True,True,True,True,True
ACS,2021,True,True,True,True,True,True,True
ACS,2022,True,True,True,True,True,True,True
ACS,2023,True,True,True,True,True,True,True
ACS,2024,True,True,True,True,True,True,True
ACV,2011,True,True,True,True,True,True,True
ACV,2012,True,True,True,True,True,True,True
ACV,2013,True,True,True,True,True,True,True
ACV,2014,True,True,True,True,True,True,True
ACV,2015,True,True,True,True,True,True,True
ACV,2016,True,True,True,True,True,True,True
ACV,2017,True,True,True,True,True,True,True
ACV,2018,True,True,True,True,True,True,True
ACV,2019,True,True,True,True,True,True,True
ACV,2020,True,True,True,True,True,True,True
ACV,2021,True,True,True,True,True,True,True
ACV,2022,True,True,True,True,True,True,True
ACV,2023,True,True,True,True,True,True,True
ACV,2024,True,True,True,True,True,True,True
ACV,2025,True,True,True,True,True,True,True
ADC,2009,True,True,True,True,True,True,True
ADC,2010,True,True,True,True,True,True,True
ADC,2011,True,True,True,True,True,True,True
ADC,2012,True,True,True,True,True,True,True
ADC,2015,True,True,True,True,True,True,True
ADC,2017,True,True,True,True,True,True,True
ADC,2018,True,True,True,True,True,True,True
ADC,2019,True,True,True,True,True,True,True
ADC,2020,True,True,True,True,True,True,True
ADC,2021,True,True,True,True,True,True,True
ADC,2022,True,True,True,True,True,True,True
ADC,2023,True,True,True,True,True,True,True
ADC,2024,True,True,True,True,True,True,True
ADC,2025,True,True,True,True,True,True,True
ADG,2017,True,True,True,True,True,True,True
ADG,2018,True,True,True,True,True,True,True
ADG,2019,True,True,True,True,True,True,True
ADG,2020,True,True,True,True,True,True,True
ADG,2021,True,True,True,True,True,True,True
ADG,2022,True,True,True,True,True,True,True
ADG,2023,True,True,True,True,True,True,True
ADG,2024,True,True,True,True,True,True,True
ADG,2025,True,True,True,True,True,True,True
ADP,2011,True,True,True,True,True,True,True
ADP,2012,True,True,True,True,True,True,True
ADP,2013,True,True,True,True,True,True,True
ADP,2014,True,True,True,True,True,True,True
ADP,2017,True,True,True,True,True,True,True
ADP,2018,True,True,True,True,True,True,True
ADP,2019,True,True,True,True,True,True,True
ADP,2020,True,True,True,True,True,True,True
ADP,2022,True,True,True,True,True,True,True
ADP,2023,True,True,True,True,True,True,True
ADP,2024,True,True,True,True,True,True,True
ADP,2025,True,True,True,True,True,True,True
ADS,2013,True,True,True,True,True,True,True
ADS,2014,True,True,True,True,True,True,True
ADS,2015,True,True,True,True,True,True,True
ADS,2016,True,True,True,True,True,True,True
ADS,2017,True,True,True,True,True,True,True
ADS,2018,True,True,True,True,True,True,True
ADS,2019,True,True,True,True,True,True,True
ADS,2020,True,True,True,True,True,True,True
ADS,2021,True,True,True,True,True,True,True
ADS,2022,True,True,True,True,True,True,True
ADS,2023,True,True,True,True,True,True,True
ADS,2024,True,True,True,True,True,True,True
ADS,2025,True,True,True,True,True,True,True
AFC,2016,True,True,True,True,True,True,True
AFC,2017,True,True,True,True,True,True,True
AFC,2018,True,True,True,True,True,True,True
AFC,2019,True,True,True,True,True,True,True
AFX,2011,True,True,True,True,True,True,True
AFX,2012,True,True,True,True,True,True,True
AFX,2013,True,True,True,True,True,True,True
AFX,2014,True,True,True,True,True,True,True
AFX,2015,True,True,True,True,True,True,True
AFX,2016,True,True,True,True,True,True,True
AFX,2017,True,True,True,True,True,True,True
AFX,2018,True,True,True,True,True,True,True
AFX,2019,True,True,True,True,True,True,True
AFX,2020,True,True,True,True,True,True,True
AFX,2021,True,True,True,True,True,True,True
AFX,2022,True,True,True,True,True,True,True
AFX,2023,True,True,True,True,True,True,True
AFX,2024,True,True,True,True,True,True,True
AFX,2025,True,True,True,True,True,True,True
AG1,2016,True,True,True,True,True,True,True
AG1,2017,True,True,True,True,True,True,True
AG1,2018,True,True,True,True,True,True,True
AG1,2019,True,True,True,True,True,True,True
AG1,2020,True,True,True,True,True,True,True
AG1,2021,True,True,True,True,True,True,True
AG1,2022,True,True,True,True,True,True,True
AG1,2023,True,True,True,True,True,True,True
AG1,2024,True,True,True,True,True,True,True
AG1,2025,True,True,True,True,True,True,True
AGD,2009,True,True,True,True,True,True,True
AGD,2010,True,True,True,True,True,True,True
AGD,2011,True,True,True,True,True,True,True
AGD,2012,True,True,True,True,True,True,True
AGE,2019,True,True,True,True,True,True,True
AGE,2020,True,True,True,True,True,True,True
AGE,2021,True,True,True,True,True,True,True
AGE,2022,True,True,True,True,True,True,True
AGF,2009,True,True,True,True,True,True,True
AGF,2010,True,True,True,True,True,True,True
AGF,2011,True,True,True,True,True,True,True
AGF,2012,True,True,True,True,True,True,True
AGF,2013,True,True,True,True,True,True,True
AGF,2014,True,True,True,True,True,True,True
AGF,2017,True,True,True,True,True,True,True
AGF,2018,True,True,True,True,True,True,True
AGF,2019,True,True,True,True,True,True,True
AGF,2020,True,True,True,True,True,True,True
AGF,2021,True,True,True,True,True,True,True
AGF,2022,True,True,True,True,True,True,True
AGF,2023,True,True,True,True,True,True,True
AGF,2024,True,True,True,True,True,True,True
AGF,2025,True,True,True,True,True,True,True
AGG,2017,True,True,True,True,True,True,True
AGG,2018,True,True,True,True,True,True,True
AGG,2019,True,True,True,True,True,True,True
AGG,2020,True,True,True,True,True,True,True
AGG,2021,True,True,True,True,True,True,True
AGG,2022,True,True,True,True,True,True,True
AGG,2023,True,True,True,True,True,True,True
AGG,2024,True,True,True,True,True,True,True
AGG,2025,True,True,True,True,True,True,True
AGM,2009,True,True,True,True,True,True,True
AGM,2010,True,True,True,True,True,True,True
AGM,2011,True,True,True,True,True,True,True
AGM,2012,True,True,True,True,True,True,True
AGM,2013,True,True,True,True,True,True,True
AGM,2014,True,True,True,True,True,True,True
AGM,2015,True,True,True,True,True,True,True
AGM,2016,True,True,True,True,True,True,True
AGM,2017,True,True,True,True,True,True,True
AGM,2018,True,True,True,True,True,True,True
AGM,2019,True,True,True,True,True,True,True
AGM,2020,True,True,True,True,True,True,True
AGM,2021,True,True,True,True,True,True,True
AGM,2022,True,True,True,True,True,True,True
AGM,2023,True,True,True,True,True,True,True
AGM,2024,True,True,True,True,True,True,True
AGM,2025,True,True,True,True,True,True,True
AGP,2011,True,True,True,True,True,True,True
AGP,2013,True,True,True,True,True,True,True
AGP,2016,True,True,True,True,True,True,True
AGP,2020,True,True,True,True,True,True,True
AGP,2021,True,True,True,True,True,True,True
