symbol,period,raw_roa,raw_cfoa,raw_d_roa,raw_accrual,raw_d_lever,raw_d_liquid,raw_eq_offer,raw_d_margin,raw_d_turn,f_roa,f_cfoa,f_d_roa,f_accrual,f_d_lever,f_d_liquid,f_eq_offer,f_d_margin,f_d_turn,signals_available,f_score
A32,2017,,,,,,,0.0,,,,,,,,,True,,,1,
A32,2018,0.08602104537874378,0.10427312150531474,,-0.018252076126570968,,0.1036687349381189,0.0,-0.010519533057801164,,True,True,,True,,True,True,False,,6,
A32,2019,0.10016361161546188,0.02390965111783339,0.014142566236718099,0.07625396049762849,-0.0018467464641017542,0.15891784907707707,0.0,0.022350918777842746,0.18505309719643703,True,True,True,False,True,True,True,True,True,9,8
A32,2020,0.09681327277552988,0.009840083776953485,-0.0033503388399319933,0.0869731889985764,-0.0031631415646389436,0.026039402421792923,0.0,-0.00974209669047936,0.2002845274663687,True,True,False,False,True,True,True,False,True,9,6
A32,2021,0.07087769600222993,0.13702089134619044,-0.025935576773299954,-0.06614319534396051,0.0,-0.06222991419539703,0.0,0.0005981547350380895,-0.34370266239022307,True,True,False,True,False,False,True,True,False,9,5
A32,2022,0.06942735924530886,-0.029839678902367568,-0.001450336756921064,0.09926703814767643,0.0,-0.13547399460721699,0.0,0.019969391591425745,0.03047130966560796,True,False,False,False,False,False,True,True,True,9,4
A32,2023,0.07238838716992858,0.02090901966221989,0.002961027924619719,0.05147936750770869,0.0,0.09781002134588945,0.0,-0.014342546458220584,-0.04763573083929962,True,True,True,False,False,True,True,False,False,9,5
A32,2024,0.07769382783433615,0.12590203490859933,0.005305440664407565,-0.04820820707426318,0.0,0.0034382967275490284,0.0,-0.015978551739436936,0.12417924577415063,True,True,True,True,False,True,True,False,True,9,7
A32,2025,0.10258166650441125,-0.1123606217648928,0.024887838670075102,0.21494228826930406,0.0,0.07921160466640864,0.0,0.0039500553575933794,0.12993462934632527,True,False,True,False,False,True,True,True,True,9,6
AAA,2009,,,,,,,0.0,,,,,,,,,True,,,1,
AAA,2010,0.20700964250462534,-0.001830273526462944,,0.20883991603108829,,0.36017586044181926,122100000000.0,0.05742098039974963,,True,False,,False,,True,False,True,,6,
AAA,2011,0.10151453736983107,0.08703059232631506,-0.10549510513479426,0.014483945043516008,-0.03287279615082231,-0.4744146984170249,380000000.0,-0.057672319746110784,-0.1467116283499701,True,True,False,False,True,False,False,False,False,9,3
AAA,2012,0.06752457031420714,0.13607407145681208,-0.03398996705562393,-0.06854950114260494,-0.14790629175663114,0.3512576270382032,128453926549.0,-0.03266010400288438,-0.17503374638437053,True,True,False,True,True,True,False,False,False,9,5
AAA,2013,0.061006324370590906,0.09275404827091145,-0.006518245943616233,-0.031747723900320546,0.06166689526547619,-0.25156779993510725,0.0,-0.030247483419254317,0.04856537904503888,True,True,False,True,False,False,True,False,True,9,5
AAA,2014,0.04081767607015007,0.08630470437862434,-0.020188648300440835,-0.045487028308474266,0.018239058554057427,0.40742567010206077,217798900000.0,-0.03714515770648026,0.070995520648657,True,True,False,True,False,True,False,False,True,9,5
AAA,2015,0.028147469700037703,-0.051594301855363026,-0.012670206370112368,0.07974177155540073,0.002192880964665328,0.23858126793948964,0.0,0.0004650172919221929,-0.22072395141569467,True,False,False,False,False,True,True,True,False,9,4
AAA,2016,0.07263558501955629,0.04101238124805093,0.04448811531951859,0.03162320377150536,0.28905626869893997,-0.41221891885544726,84247500000.0,0.025661314696603696,-0.03899662362691059,True,True,True,False,False,False,False,True,False,9,4
AAA,2017,0.07257002279980881,-0.026209769054780816,-6.556221974747534e-05,0.09877979185458963,-0.1396652286531203,-0.11782117683069071,406752500000.0,-0.007979420912858637,0.22563546537469747,True,False,False,False,True,False,False,False,True,9,3
AAA,2018,0.03939123372000753,0.008422083608417293,-0.033178789079801284,0.030969150111590238,-0.028984036345916175,0.16799737985313867,1418241802000.0,-0.05124726812256972,0.42839569284197965,True,True,False,False,True,True,False,False,True,9,5
AAA,2019,0.06115761899771536,0.06499270483903198,0.021766385277707828,-0.0038350858413166225,-0.045073958328799374,0.29165701831163227,0.0,0.02856996769769618,-0.5210927374924066,True,True,True,True,True,True,True,True,False,9,8
AAA,2020,0.032831589832276374,0.07668760359041035,-0.028326029165438985,-0.04385601375813398,-0.10223074467671578,-0.3442713584653798,569961500000.0,-0.007977834336214698,-0.2995997503784521,True,True,False,True,True,False,False,False,False,9,4
