,alpha_daily,alpha_annual,alpha_tstat,alpha_pvalue,alpha_significant,alpha,beta_mkt,beta_smb,beta_hml,r2,n_obs
fscore_EW,0.00032808737310233637,0.08267801802178877,1.18433323775591,0.23628117659898573,False,0.05,0.6851170935440024,0.06204704640128019,0.12869355772015664,0.5185417686696716,609
fscore_GMV,0.0002864145776978505,0.07217647357985833,0.885555939826697,0.37585686296459986,False,0.05,0.5264016170580881,0.14675523051930264,0.007804762949193507,0.34758241669123724,609
value_EW,0.00016576506033901434,0.04177279520543161,0.5442417877910312,0.5862750993383958,False,0.05,0.6852589461557151,0.08332218608155975,0.42459198351967137,0.495034524373141,609
