,,fscore,random_mean,random_std,percentile,p_value,significant,n_draws
fscore_EW,ann_return,0.16680642192140804,0.17017113998386582,0.01164063046654134,0.395,0.605,False,1000
fscore_EW,sharpe,0.8486752853896399,0.8584263421001695,0.0595949186025243,0.431,0.569,False,1000
fscore_EW,max_drawdown,-0.386388226292103,-0.4138236186386221,0.021661065609756298,0.898,0.102,False,1000
fscore_GMV,ann_return,0.12461758797458744,0.10415823596285194,0.01563385858491673,0.8866666666666667,0.11333333333333333,False,300
fscore_GMV,sharpe,0.8153014329189039,0.6424669634733088,0.09988444346586156,0.96,0.04,True,300
fscore_GMV,max_drawdown,-0.29109554365667945,-0.37550863677475416,0.03703363457424125,0.96,0.04,True,300
fscore_GMVsec,ann_return,0.15708612221289764,0.12433404264834676,0.015979119780526234,0.9733333333333334,0.02666666666666667,True,300
fscore_GMVsec,sharpe,0.9572424584070157,0.7456651372973985,0.09812312552207016,0.98,0.02,True,300
fscore_GMVsec,max_drawdown,-0.38555687216556467,-0.3896778269416249,0.03358355344175333,0.5233333333333333,0.4766666666666667,False,300
