,cum_return,ann_return,ann_vol,sharpe,max_drawdown
fscore_EW,0.6457232758211571,0.2285142290419495,0.21780114534976516,1.0491874534221586,-0.23761853833602709
fscore_GMV,0.6236680780580552,0.22168578501088865,0.2162666191745319,1.025057800676966,-0.23187363224582935
fscore_GMVsec,0.632065012782552,0.22429191444338525,0.21547464325444618,1.0409202264162798,-0.23047533480961158
value_EW,0.9115397696773142,0.3069037630951903,0.23525174426394874,1.3045759301612196,-0.2360031982987446
mktcap_EW,0.6387861471314473,0.22637226637494767,0.21441669651909778,1.05575857687363,-0.26448895772284375
liquidity_EW,0.7032636374164982,0.2460800842343418,0.20468346442241997,1.2022470155502578,-0.23732444602799996
"1306.T (TOPIX ETF, JPY)",0.5572508422430875,0.2004279701219751,0.20389682887492205,0.9829871863525897,-0.22815382583426858
"EWJV (MSCI Japan Value ETF, USD)",0.6260720541291571,0.21617359176308315,0.1821262800513145,1.1869434312399931,-0.1461029697257762
