year,fscore_EW,fscore_GMV,fscore_GMVsec,fscore_LS,value_EW,mktcap_EW,liquidity_EW
2013,0.6919840133660253,0.7718339220892758,0.7100538479784768,1.3947780755657786,0.31403826290326087,0.2729289269339195,0.7027940621997533
2014,0.5634025924991936,0.400158623795297,0.5590351649353693,1.2498332669322507,0.31857196837763213,0.2836600880762092,0.6864306744330575
2015,0.6281833847652859,0.6570571916888646,0.6399247320562861,1.2644603354609658,0.2783456266523118,0.2950956679085647,0.6453522287409189
2016,0.5738175136941209,0.5903580544349649,0.6099189400467114,1.2228321335129009,0.41350673473325766,0.38029659200582444,0.6323340738116378
2017,0.5088415968524002,0.522890647312808,0.4116121697678053,1.0487959601160777,0.38235940622660314,0.4154439497806689,0.5445520644131028
2018,0.5644191930432649,0.5235625234787965,0.5192695053745923,1.2253765986879142,0.34100502123475035,0.31847507869626174,0.6669201541437034
2019,0.5590184028450464,0.5412244589291884,0.698022348020914,1.4036458550050366,0.4787738694642958,0.41418598853381333,0.8486182509618746
2020,0.6771964092739277,0.42355651403420785,0.665806991591696,1.4327494000404994,0.38399274881049406,0.36477405726084355,0.7380518648601616
2021,0.5899734868303985,0.5659890546990706,0.805625290808206,1.185142810981498,0.23146687513525976,0.3413781246961642,0.5811227423298061
2022,0.6096081534213131,0.5764169908302457,0.7369354226937475,1.2709806746805457,0.2658037970963782,0.3293549649678127,0.6775489932269901
2023,0.6534084548710157,0.8749289912046694,0.8431397889012073,1.3230474624425639,0.47500335041994535,0.4584199430185114,0.6876827982141662
2024,0.69235628581524,0.8677206900097891,0.8478543288840246,1.4464309545893832,0.36112869000319986,0.3269795048044122,0.7570543567717761
mean,0.609350790606436,0.6096414718755981,0.670599877588253,1.2890061273346178,0.3536663625881158,0.3500827405569171,0.6807051886755792
