,ann_return,sharpe,net_sharpe,percentile_vs_random,p_value,significant_at_5pct
cash_flow,0.17202070946539827,0.8725862226206659,0.861660698099046,0.8475,0.1525,False
share_count,0.17171633561351096,0.859184423907091,0.8478431342899362,0.7925,0.2075,False
