year,fscore_EW,fscore_GMV,fscore_GMVsec,fscore_LS,value_EW,mktcap_EW,liquidity_EW
2013,0.3733075897002186,0.34439151376905186,0.37983226535098563,1.3733075897002187,0.30915042164584816,0.3074782724956974,0.3421113180116773
2014,0.33199811774978133,0.418611166391313,0.31478631910968297,1.3319981177497813,0.23556986696979432,0.23622010816638112,0.27854864433464493
2015,0.24831375835155134,0.24979961508030046,0.2440769470441011,1.2483137583515513,0.19178506020777483,0.2183533908636949,0.21793225122431717
2016,0.3721511605164182,0.7263285877745055,0.7059812546580184,1.3721511605164183,0.24415926873794694,0.33412055080630804,0.3609271709952534
2017,0.29412451428397324,0.48747460149041244,0.4779471321734342,1.2941245142839732,0.1618867186674643,0.26396600141266535,0.3001879756168198
2018,0.2700680910903378,0.33677972626234914,0.4832690480533716,1.0200680910903377,0.16213934628010013,0.24679731901057889,0.3163760551373825
2019,0.30139737782193754,0.39325456569040673,0.4673669393888004,1.3013973778219374,0.20104092577826357,0.2987137536270052,0.36113685802877415
2020,0.28722586593118643,0.4822374945297819,0.4991148796092811,1.2872258659311864,0.26502933842274845,0.27446608415063795,0.30353402686557035
2021,0.3853906539143253,0.4638966520881337,0.505429542685674,1.3853906539143255,0.22666494179104352,0.26311228799809594,0.3491419774186318
2022,0.3333622964681102,0.7507653752775894,0.5506193227008603,1.33336229646811,0.2582315959560585,0.24355183259086513,0.2793434343812321
2023,0.27462342411499463,0.30211252729998755,0.39588834720193194,1.091370490304359,0.35987199867997516,0.25895500102582125,0.3953219927358894
2024,0.28912955734378665,0.4238510678807729,0.5405105037963341,1.2891295573437864,0.23698263558185814,0.17651369250359322,0.30932436499818955
mean,0.3134243672738852,0.4482919077945504,0.4637352084810396,1.2773199561229986,0.237709343226573,0.260187357887612,0.31782383914569856
