year,fscore_EW,fscore_GMV,fscore_GMVsec,fscore_LS,value_EW,mktcap_EW,liquidity_EW
2013,0.6788321414951133,0.9814485708789213,0.978810749570434,1.4360904846061917,0.7196906226507094,0.5125300483372437,0.7572583431110789
2014,0.5672210757914249,0.7688830391724532,0.6711476992850797,1.0584731578459303,0.5475302757420745,0.4071053960747212,0.4912520820545059
2015,0.6374918186238224,0.718176394990838,0.7358685828423303,1.4164628857343247,0.6850959669721957,0.524188093905695,0.7789710671105025
2016,0.8139104801510794,0.9966400656250175,0.9604438155960688,1.6451864338528701,0.7775320591675997,0.7384507054993231,0.831275953701791
2017,0.7045572709311617,0.9103772032577164,0.9472609396234487,1.4755936867184825,0.6928532294196291,0.5461409653624221,0.7710364157873211
2018,0.7781440753939489,0.9790241178624838,0.9772728096719365,1.5598586334907327,0.7205764234416274,0.5036998654522687,0.7817145580967843
2019,0.5664458731408982,0.7919116207429769,0.6951799019997715,1.2756470237037247,0.6195062318558531,0.46929591977630625,0.709201150562827
2020,0.7161454918931361,0.8289132260355229,0.7998307819942204,1.5048345434148667,0.5104482886583971,0.5252018320130207,0.7886890515217307
2021,0.8209808779748115,1.0,0.9522828767383982,1.548396006252838,0.4999454956735286,0.5005370610878587,0.7274151282780263
2022,0.7514933266429693,1.0,0.966469810589141,1.5826020870187507,0.5473186394283125,0.5967184585761606,0.8311087603757817
2023,0.7853774936345777,0.9808052226293489,0.9999999999999999,1.4693301561454102,0.6496179648891577,0.6263286108362784,0.6839526625108329
2024,0.6580470253843801,0.9357128897556946,0.973140661233316,1.276778199105325,0.5455271568578308,0.43730012016529224,0.6187311737209453
mean,0.7065539125881104,0.9076576959125813,0.888142385762012,1.4374377748241207,0.6263035295630762,0.5322914230905492,0.7308838622360107
