,,fscore,random_mean,random_std,percentile,p_value,significant,n_draws
fscore_EW,ann_return,0.15918547205590183,0.1615993946562264,0.012794258946877713,0.435,0.565,False,1000
fscore_EW,sharpe,0.8112921230717225,0.8168887290803731,0.06516363656511952,0.473,0.527,False,1000
fscore_EW,max_drawdown,-0.3863882262921028,-0.4138236186386221,0.0216610656097563,0.898,0.102,False,1000
fscore_GMV,ann_return,0.11407964604358023,0.0907732814794891,0.017164928518697047,0.9133333333333333,0.08666666666666667,False,300
fscore_GMV,sharpe,0.7363048218575373,0.5495637744887039,0.10663975209644616,0.97,0.03,True,300
fscore_GMV,max_drawdown,-0.29109554365667945,-0.37550863677475416,0.037033634574241234,0.96,0.04,True,300
fscore_GMVsec,ann_return,0.15143595839616641,0.10868959873714777,0.01711405919629894,0.9966666666666667,0.0033333333333333335,True,300
fscore_GMVsec,sharpe,0.9184506807453673,0.6441865954522535,0.10321475653629678,0.9966666666666667,0.0033333333333333335,True,300
fscore_GMVsec,max_drawdown,-0.3855568721655648,-0.3896778269416249,0.03358355344175336,0.5233333333333333,0.4766666666666667,False,300
