,,fscore,random_mean,random_std,percentile,p_value,n_draws
fscore_EW,ann_return,0.2690844283335847,0.24661448870708433,0.046076063796115604,0.695,0.305,1000.0
fscore_EW,sharpe,1.2244800754753244,1.146200219555161,0.20965393144606034,0.657,0.343,1000.0
fscore_EW,max_drawdown,-0.23761853892323426,-0.23156920687544907,0.014858313190901013,0.3,0.7,1000.0
fscore_GMV,ann_return,0.2556668008239591,0.2291631826289146,0.04132463379284514,0.7566666666666667,0.24333333333333335,300.0
fscore_GMV,sharpe,1.1734203990660852,1.0847591608052494,0.18969477247495592,0.69,0.31,300.0
fscore_GMV,max_drawdown,-0.23187361714194887,-0.22942573720421403,0.0155174833169951,0.38666666666666666,0.6133333333333333,300.0
fscore_GMVsec,ann_return,0.2583454138698513,0.22971795287876784,0.042824787656751725,0.7533333333333333,0.24666666666666667,300.0
fscore_GMVsec,sharpe,1.1900131089154602,1.0887719138972225,0.1974303969853374,0.71,0.29,300.0
fscore_GMVsec,max_drawdown,-0.2304753245923017,-0.22880568458758566,0.015165241405143788,0.3933333333333333,0.6066666666666667,300.0
