,,fscore,random_mean,random_std,percentile,p_value,significant,n_draws
fscore_EW,ann_return,0.11669152848280229,0.08394593642130951,0.01924527978983374,0.953,0.047,True,1000
fscore_EW,sharpe,0.44646065272263186,0.316683344035964,0.07299892413581192,0.958,0.042,True,1000
fscore_EW,max_drawdown,-0.704442171833727,-0.7291561544665897,0.018991342317249884,0.9,0.1,False,1000
fscore_GMV,ann_return,0.1930092637219667,0.13177923799873734,0.03854904596968546,0.9366666666666666,0.06333333333333334,False,300
fscore_GMV,sharpe,0.8071895042797144,0.5500691978337947,0.1627398343130122,0.9333333333333333,0.06666666666666667,False,300
fscore_GMV,max_drawdown,-0.5476863241758185,-0.6513186039735496,0.04814494184446752,0.99,0.01,True,300
fscore_GMVsec,ann_return,0.1306902253300244,0.12019642867515913,0.03471219016932439,0.61,0.39,False,300
fscore_GMVsec,sharpe,0.545104650135105,0.49558687692773096,0.14554560781464254,0.62,0.38,False,300
fscore_GMVsec,max_drawdown,-0.6703553034574103,-0.6837884195394052,0.027635977479917053,0.68,0.32,False,300
