,ann_return,ann_vol,sharpe,max_drawdown,nominal_k,effective_n,turnover,cost_drag,net_ann_return,net_sharpe
fscore_EW,0.11669152848280229,0.26137024118740887,0.44646065272263186,-0.704442171833727,30.0,30.0,0.7036227111124885,0.002814490844449954,0.11387703763835233,0.4356924381329996
fscore_GMV,0.1930092637219667,0.23911270240585716,0.8071895042797144,-0.5476863241758185,30.0,6.923272477004496,0.8996255486131813,0.0035985021944527256,0.18941076152751396,0.7921401064089779
fscore_GMVsec,0.1306902253300244,0.23975254164064205,0.545104650135105,-0.6703553034574103,30.0,8.809090631220178,0.8720917743869404,0.0034883670975477616,0.12720185823247662,0.5305547852048872
value_EW,0.06120128156546478,0.27966524557270833,0.21883763726212974,-0.7696172731670493,30.0,30.0,0.6233349152710471,0.0024933396610841885,0.05870794190438059,0.20992219388632435
mktcap_EW,0.12910035665691422,0.2628073165189778,0.49123577823828063,-0.6821638671117152,30.0,30.0,0.5301855368736962,0.0021207421474947847,0.12697961450941944,0.483166207818457
liquidity_EW,0.05087376372044283,0.27133816295062074,0.18749210640782976,-0.7563238312225611,30.0,30.0,0.7556233134605207,0.003022493253842083,0.04785127046660075,0.17635289465458984
