date,fscore_EW,fscore_GMV,fscore_GMVsec,fscore_high_EW,value_EW,universe_EW,universe_GMV,fscore_LS
2012,0.14433667349183743,0.13387529078339155,0.12040535548379916,0.14051690406560047,0.13435221725226532,0.13435221725226532,0.05405267252784274,0.03119555357589676
2013,0.5332966921422462,0.7475466570049158,0.6980199413241663,0.44334571384550414,0.5329432894183463,0.5329432894183463,0.4155808581229403,0.0032076649093280007
2014,0.1300939422628391,0.1801441643214372,0.2036518210331868,0.13708877643887507,0.12564559456725033,0.12564559456725033,0.1933761573086088,0.09292402596248994
2015,0.1192549610968876,0.2965733888409712,0.27998902330462094,0.1284082382608014,0.13274118207197527,0.13274118207197527,0.3380248268616082,-0.06324328501105847
2016,0.1081483519577231,-0.06581630057866905,0.07206668448768117,0.11882501151807667,0.04846642684249991,0.04846642684249991,0.019421041271576067,0.08344994289918128
2017,0.1803996887657593,0.3739782335199666,0.32125072325352666,0.14801686775370304,0.24852495797454832,0.24852495797454832,0.3749288225712628,-0.06496672251575641
2018,0.014592844579212505,-0.1832471804341903,-0.08062027934555749,-0.010945967389928701,-0.11251040487121133,-0.11251040487121133,-0.18837079160119008,0.2203870214104342
2019,0.1784978286716139,0.051487482326593836,0.11354755591545418,0.18287055366273752,0.14458590515732195,0.14458590515732195,0.01916663717268019,0.1170491877446731
2020,0.010217513498608666,-0.16711013311836287,-0.03607478565027722,0.014695257325574751,0.0526417557146075,0.0526417557146075,-0.12342084723022895,-0.03943885268395353
2021,0.13278759499750215,0.06922056182794978,0.08465781884483392,0.06642039968681202,0.16673830872063333,0.16673830872063333,0.12931391787281288,-0.009821044447097527
2022,0.11279423038188385,0.1142141534142298,0.17138112846615416,0.2479420580754106,-0.004647089454020481,0.032138892080258996,0.10789249686965774,0.07362773874003103
2023,0.2860636134219907,0.18052093322328777,0.18749721470043612,0.3090007770837415,0.28148985676294846,0.2629812051960376,0.2640755052317465,0.053969382046126224
2024,0.09748110369652507,-0.02464810564147657,-0.02423974362960546,0.09222033622678016,0.16295758898964507,0.13190490185121595,0.13647751508786632,0.021457806013293057
2025,0.26386082027218105,0.09110383707101466,0.23080012784714232,0.27870777493991206,0.34083202840095583,0.23620462513472673,0.1405911719853501,-0.03552275688193274
