,,,percentile,p_value,significant,alpha,n_draws,random_mean,random_std,fscore,basis
random (full universe),sharpe,gross,0.4764,0.5236,False,0.05,5000,0.7186926279685522,0.060788993109976805,0.7144670567587728,gross
random (full universe),sharpe,net,0.4788,0.5212,False,0.05,5000,0.7045735897278569,0.06074492685668761,0.7008141551344004,net
random (full universe),ann_return,gross,0.5382,0.4618,False,0.05,5000,0.14251202839388508,0.011750329261268512,0.14373522224225166,gross
random (full universe),ann_return,net,0.5406,0.4594,False,0.05,5000,0.13971205506055173,0.01175032926126851,0.14098855557558498,net
random (non-F-Score names),sharpe,gross,0.4856,0.5144,False,0.05,5000,0.7162332577708636,0.05390001291859094,0.7144670567587728,gross
random (non-F-Score names),sharpe,net,0.489,0.511,False,0.05,5000,0.7020809098537913,0.05386223642643339,0.7008141551344004,net
random (non-F-Score names),ann_return,gross,0.5776,0.4224,False,0.05,5000,0.141693076175641,0.010400966723547272,0.14373522224225166,gross
random (non-F-Score names),ann_return,net,0.5798,0.4202,False,0.05,5000,0.1388931028423077,0.010400966723547268,0.14098855557558498,net
