date,fscore_EW,fscore_GMV,fscore_GMVsec,fscore_high_EW,value_EW,universe_EW,universe_GMV
2003,0.10436172680838718,0.037566655527199844,0.067955967424145,0.012972380303692299,0.16306668055055096,0.16306668055055096,0.031444253129811583
2004,0.0965245072745422,0.04566300927940237,0.08711873397407999,0.1512746137151486,0.08865812340364676,0.08865812340364676,0.10105499857856359
2005,0.37174026516579106,0.20932145669148983,0.21690988223329888,0.3978294766195025,0.3628076778696874,0.3628076778696874,0.2615821227457431
2006,0.1580468979503129,0.2438203693038581,0.21929152872337432,0.183109758689872,0.16612936897758246,0.16612936897758246,0.18561816191398672
2007,-0.1211604131981514,-0.13589030378418876,-0.13308881327655253,-0.09149399788598223,-0.05705911395636132,-0.05705911395636132,-0.01830356774328734
2008,-0.3914166843246685,-0.21560725487206667,-0.32773367790221464,-0.46383747365519123,-0.41186983385043363,-0.41186983385043363,-0.22949763637447462
2009,0.26333846124237104,-0.0724241286184577,0.15478202917218065,0.16131835321974797,0.2867505738342755,0.2867505738342755,-0.07082538689023032
2010,0.03435018598729522,0.06158903553444839,0.04258150310397668,-0.014850182961918756,0.06864043701476574,0.06864043701476574,0.07013604514987293
2011,-0.18761535383213135,-0.15222427829168306,-0.1692562535492167,-0.14338162042002434,-0.1798125588454137,-0.1798125588454137,-0.13258177041551644
2012,0.14205360593671035,0.11126882640656088,0.06786189196263015,0.08210000137819784,0.16934575922898176,0.16934575922898176,0.11558318043236082
2013,0.5417274499978706,0.6483996585648375,0.5950185679365152,0.4433457138455048,0.5329432894183463,0.5329432894183463,0.5417857099912173
2014,0.17390271849333994,0.2541695560338193,0.20524752350233122,0.13708877643887418,0.12564559456725033,0.12564559456725033,0.19445593788740356
2015,0.16454486252213396,0.25700915465157825,0.2789237377073446,0.12840823826080117,0.13274118207197527,0.13274118207197527,0.2583771256587426
2016,0.09739414601459995,-0.1383800057707918,-0.0975212186615162,0.11882501151807756,0.04846642684249991,0.04846642684249991,-0.06635694551878224
2017,0.2059420899760951,0.24268487487435797,0.1834058256325244,0.1480168677537026,0.24852495797454832,0.24852495797454832,0.23216444314493034
2018,-0.06271878441188683,-0.1285361305347782,-0.11040240491039688,-0.010945967389928701,-0.11251040487121133,-0.11251040487121133,-0.1499294788972093
2019,0.18645659440975937,0.13029958088652127,0.1459655617870914,0.1828705536627373,0.14458590515732195,0.14458590515732195,-0.07273890907076286
2020,0.02081144624847142,-0.05854794870688029,-0.03677841700336404,0.014695257325574751,0.0526417557146075,0.0526417557146075,-0.19858965191112532
2021,0.11575529340929736,0.02233565286631567,0.07045127323557421,0.06642039968681202,0.16673830872063333,0.16673830872063333,0.0847873614114314
2022,0.08735155371849679,0.14476705978002102,0.13283758773732424,0.2479420580754106,-0.004647089454020481,0.032138892080258996,0.08053722044614364
2023,0.3064041444965353,0.18318944543597993,0.1871518155205214,0.30900077708374063,0.3107854480642518,0.2629812051960376,0.2679163486874425
2024,0.13336128262121383,0.041155779131189174,0.024637891930031186,0.09222033622678016,0.20241145080541312,0.13190490185121595,0.1160241077414732
2025,0.31367651676457053,0.08463829260222377,0.2668860044673298,0.27870777493991206,0.3372962463679068,0.23620462513472673,0.18995779636357368
