,value
percentile,0.7466666666666667
p_value,0.25333333333333335
significant,False
alpha,0.05
n_draws,300
random_mean,0.293429053628256
random_std,0.20946704856178655
D_fscore,0.41781558253600504
D_random_mean,0.293429053628256
D_random_std,0.2098170355202381
n,300
