,,,percentile,p_value,significant,alpha,n_draws,random_mean,random_std,fscore,basis
random (full universe),sharpe,gross,0.324,0.676,False,0.05,1000,0.7621232923375376,0.09638123652471728,0.7218171941318264,gross
random (full universe),sharpe,net,0.329,0.671,False,0.05,1000,0.7420729227731304,0.09626338329936124,0.70341800530491,net
random (full universe),ann_return,gross,0.423,0.577,False,0.05,1000,0.13891351381623138,0.01713568189971591,0.1362912089120134,gross
random (full universe),ann_return,net,0.426,0.574,False,0.05,1000,0.13525858048289802,0.017135681899715906,0.13281713305373885,net
random (non-F-Score names),sharpe,gross,0.303,0.697,False,0.05,1000,0.769760671103696,0.09932285747151458,0.7218171941318264,gross
random (non-F-Score names),sharpe,net,0.317,0.683,False,0.05,1000,0.7496399852640753,0.09922401637956439,0.70341800530491,net
random (non-F-Score names),ann_return,gross,0.42,0.58,False,0.05,1000,0.13982420939486603,0.017694630405796687,0.1362912089120134,gross
random (non-F-Score names),ann_return,net,0.426,0.574,False,0.05,1000,0.1361692760615327,0.017694630405796687,0.13281713305373885,net
