date,fscore_EW,fscore_GMV,fscore_GMVsec,fscore_high_EW,value_EW,universe_EW,universe_GMV
2003,0.1865542235858304,0.06183780035704167,0.11386624227700026,0.5162778549109839,0.20793519964082496,0.20793519964082496,0.08900899025405029
2004,0.13326666051871872,0.15106536367947077,0.2222332746795026,0.01373527374808714,0.15465795860170006,0.15465795860170006,0.1450681227256332
2005,0.05277484594759807,0.11560568166960294,0.09268710770357136,0.08655451089712352,0.06874453558887494,0.06874453558887494,0.04305757053855652
2006,0.2281484368446085,0.1460177951788697,0.2520698245970976,0.15398005334765097,0.21921017584282043,0.21921017584282043,0.15222307564985482
2007,0.11432632706300128,0.15402133055496936,0.1513398385603839,0.18817451449359712,0.09873797699503362,0.09873797699503362,0.15804746065820274
2008,-0.28860876611753006,-0.18656756063095326,-0.23522770913258806,-0.21925889700351242,-0.3243103015626536,-0.3243103015626536,-0.17837314983584385
2009,0.2989617739335122,0.2108658385585016,0.2619819591649182,0.33269491627189374,0.3434544168471847,0.3573524416209033,0.12026338525097047
2010,0.09324816586815232,0.039042316161217894,0.08591136955463186,0.10744001538718351,0.12186038295408319,0.1508773151125462,0.12130264444304606
2011,0.023054357050039886,0.11060093738591181,0.11635046801819882,0.08022148461949485,0.09831292386457524,0.05446701701914147,0.17672955744517216
2012,0.09016284772726224,-0.058039352586917836,0.04812332782756057,0.08176310872390613,0.09071006444830698,0.1292112725097465,0.04038386206978117
2013,0.2956556836130173,0.12028488384012648,0.24604016169126153,0.25497528412065007,0.3216856478551926,0.3241571180246785,0.12386719493351683
2014,0.14415499446282554,0.13914130973915828,0.14063699346769476,0.164531349482536,0.12266531593158869,0.12916055939251625,0.11287270541863181
2015,-0.04758206243898766,-0.07734246525972988,-0.06337132069073359,-0.06895186256295116,-0.1041345311893781,-0.015414634704370433,0.045773132355714674
2016,0.12779426065302268,0.03942856900194314,0.08588637444361491,0.17842323363225066,0.23887269015394796,0.1461059442739181,0.11587246241492122
2017,0.19419529800514823,0.10019390582351817,0.0956980185500893,0.22729831069299555,0.13699365050307466,0.19762833967972004,0.1298513081212529
2018,-0.050545231591484385,-0.07740651782378105,-0.06848173893138754,-0.07082614886711724,-0.053929146656092275,-0.04444157567738427,-0.04676240634257356
2019,0.30116817012680563,0.28955812009391146,0.26826073194294775,0.352809895664294,0.2972484152055914,0.2699627137084035,0.24469709627198744
2020,0.08943880578428676,-0.12331449856415344,-0.055513079812447685,0.051834167199276804,0.07138148800725586,0.13402221644344525,-0.03655897301503375
2021,0.18400374623454985,0.1945117289007623,0.18482853752116402,0.25041058022061335,0.34483445292935144,0.2709384497185321,0.12849635091706846
2022,-0.15819658167887074,-0.06294376641425348,-0.049460801850025216,-0.11187309479663865,-0.12857891680154465,-0.0801601939699429,0.012124859952511668
2023,0.11602340252963006,-0.00346568805478642,0.024462481501876354,0.11139487534382453,0.26748641308282517,0.16736892108654855,-0.021012780900669603
2024,0.19067082003223423,0.20956526132504205,0.27634881791618593,0.16770655578568916,0.16398028850413238,0.16358197736290925,0.09378415870250278
2025,0.13706683982866563,0.13391364382411908,0.1616494476297079,0.052401657354384845,0.17109161150889296,0.1435645626423947,0.1491213330340746
