,value
percentile,0.2966666666666667
p_value,0.7033333333333334
significant,False
alpha,0.05
n_draws,300
random_mean,0.06772575096266839
random_std,0.09518509369058423
D_fscore,0.01473978698275813
D_random_mean,0.06772575096266839
D_random_std,0.09534413322286114
n,300
