year,universe,dropped_no_price,bm_coverage,k,value_fallback,value_basket_size,n_fscore_high,fscore_mean,fscore_basket_min,overlap_random_vs_fscore,overlap_expected
2003,53,8,0,20,True,53,7,5.566037735849057,6.0,0.37625000000000003,0.37735849056603776
2004,53,9,0,20,True,53,11,6.660377358490566,7.0,0.37895,0.37735849056603776
2005,59,8,0,20,True,59,25,7.084745762711864,8.0,0.34325,0.3389830508474576
2006,60,5,0,20,True,60,17,6.683333333333334,7.0,0.3339,0.3333333333333333
2007,55,2,0,20,True,55,13,6.6909090909090905,7.0,0.36785,0.36363636363636365
2008,54,3,0,20,True,54,5,5.944444444444445,6.0,0.3711,0.37037037037037035
2009,64,4,0,20,True,64,10,5.96875,7.0,0.3105,0.3125
2010,73,4,0,20,True,73,0,4.671232876712328,5.0,0.27485,0.273972602739726
2011,76,3,0,20,True,76,13,6.065789473684211,7.0,0.2611,0.2631578947368421
2012,78,3,0,20,True,78,22,6.769230769230769,8.0,0.2602,0.2564102564102564
2013,70,2,0,20,True,70,6,5.628571428571429,6.0,0.28650000000000003,0.2857142857142857
2014,72,2,0,20,True,72,12,5.972222222222222,7.0,0.2783,0.2777777777777778
2015,79,2,0,20,True,79,14,6.430379746835443,7.0,0.2487,0.25316455696202533
2016,77,2,0,20,True,77,15,6.259740259740259,7.0,0.2576,0.2597402597402597
2017,79,2,0,20,True,79,10,5.949367088607595,7.0,0.25785,0.25316455696202533
2018,82,1,0,20,True,82,18,6.475609756097561,7.0,0.24525000000000002,0.24390243902439024
2019,81,1,0,20,True,81,15,6.395061728395062,7.0,0.24714999999999998,0.24691358024691357
2020,79,0,0,20,True,79,4,5.6835443037974684,7.0,0.25515,0.25316455696202533
2021,77,0,0,20,True,77,2,5.0519480519480515,6.0,0.25915,0.2597402597402597
2022,79,0,7,20,False,7,4,5.3924050632911396,7.0,0.25245,0.25316455696202533
2023,82,0,77,20,False,20,18,6.451219512195122,7.0,0.24020000000000002,0.24390243902439024
2024,79,0,76,20,False,20,13,6.050632911392405,7.0,0.2581,0.25316455696202533
2025,79,0,76,20,False,20,17,6.253164556962025,7.0,0.25680000000000003,0.25316455696202533
