,,,percentile,p_value,significant,alpha,n_draws,random_mean,random_std,fscore,basis
random (full universe),sharpe,gross,0.205,0.795,False,0.05,1000,0.7733604659163374,0.08654861607056002,0.7040106445867246,gross
random (full universe),sharpe,net,0.21,0.79,False,0.05,1000,0.7535605927524202,0.08647464074616662,0.6858321516103013,net
random (full universe),ann_return,gross,0.321,0.679,False,0.05,1000,0.1396066901744244,0.015406425639674832,0.131912276186398,gross
random (full universe),ann_return,net,0.322,0.678,False,0.05,1000,0.1360327701744244,0.015406425639674828,0.12850612543484777,net
random (non-F-Score names),sharpe,gross,0.196,0.804,False,0.05,1000,0.7824729592031192,0.09321995582851536,0.7040106445867246,gross
random (non-F-Score names),sharpe,net,0.201,0.799,False,0.05,1000,0.762564887269708,0.09312588577664427,0.6858321516103013,net
random (non-F-Score names),ann_return,gross,0.31,0.69,False,0.05,1000,0.1404586815616711,0.01633675957762874,0.131912276186398,gross
random (non-F-Score names),ann_return,net,0.314,0.686,False,0.05,1000,0.1368847615616711,0.016336759577628736,0.12850612543484777,net
