year,universe,dropped_no_price,bm_coverage,k,value_fallback,value_basket_size,n_fscore_high,fscore_mean,fscore_basket_min,tie_break_slots,overlap_random_vs_fscore,overlap_expected,cov_est_days,cov_min_est_days,delisted_in_holding_year,no_price_after_formation,long_short_run,short_leg_max_fscore
2012,178,2,178,30,False,30,9,5.404494382022472,7.0,21,0.16893333333333332,0.16853932584269662,756,378,0,0,True,4.0
2013,184,0,184,30,False,30,16,5.358695652173913,7.0,14,0.1609,0.16304347826086957,753,376,0,0,True,4.0
2014,181,1,181,30,False,30,14,5.447513812154696,7.0,16,0.16783333333333333,0.16574585635359115,752,376,0,0,True,4.0
2015,192,1,192,30,False,30,14,5.46875,7.0,16,0.1546,0.15625,753,376,0,0,True,4.0
2016,204,3,204,30,False,30,9,5.147058823529412,7.0,21,0.14693333333333333,0.14705882352941177,756,378,0,0,True,4.0
2017,209,1,209,30,False,30,14,5.444976076555024,7.0,16,0.1448,0.14354066985645933,756,378,0,0,True,4.0
2018,229,1,229,30,False,30,16,5.606986899563319,7.0,14,0.13183333333333333,0.13100436681222707,755,377,0,0,True,4.0
2019,229,0,228,30,False,30,17,5.655021834061135,7.0,13,0.13026666666666667,0.13100436681222707,752,376,0,0,True,4.0
2020,252,2,252,30,False,30,20,5.51984126984127,7.0,10,0.11986666666666666,0.11904761904761904,754,377,0,0,True,4.0
2021,263,0,263,30,False,30,16,5.212927756653992,7.0,14,0.11713333333333333,0.11406844106463879,755,377,0,0,True,4.0
2022,270,1,270,30,False,30,39,5.966666666666667,8.0,27,0.11196666666666667,0.1111111111111111,756,378,0,0,True,4.0
2023,281,0,281,30,False,30,17,5.202846975088968,7.0,13,0.1067,0.10676156583629894,754,377,0,0,True,3.0
2024,281,3,281,30,False,30,31,5.665480427046264,8.0,25,0.10579999999999999,0.10676156583629894,752,376,0,0,True,4.0
