,value
percentile,0.4033333333333333
p_value,0.5966666666666667
significant,False
alpha,0.05
n_draws,300
random_mean,-0.05627004830709992
random_std,0.13228695005242302
D_fscore,-0.10058953979536711
D_random_mean,-0.05627004830709992
D_random_std,0.13250798103371372
n,300
