mkt,k,N,EW,uniEW,value,to_EW,effN_GMV,pct,p,sig,D,D_p
vietnam,20,1000,1.2856,1.2848,0.5943,0.8958,10.0806,0.99,0.01,True,0.227,0.5
vietnam,20,2000,1.2856,1.2848,0.5943,0.8958,10.0806,0.986,0.014,True,0.227,0.5
vietnam,20,5000,1.2856,1.2848,0.5943,0.8958,10.0806,0.9842,0.0158,True,0.227,0.5
vietnam,25,1000,1.3179,1.2848,0.6619,0.8951,11.4748,0.99,0.01,True,0.4513,0.14
vietnam,25,2000,1.3179,1.2848,0.6619,0.8951,11.4748,0.9865,0.0135,True,0.4513,0.14
vietnam,25,5000,1.3179,1.2848,0.6619,0.8951,11.4748,0.9852,0.0148,True,0.4513,0.14
vietnam,30,1000,1.1837,1.2848,0.6566,0.8943,13.7275,0.892,0.108,False,0.4178,0.2533
vietnam,30,2000,1.1837,1.2848,0.6566,0.8943,13.7275,0.8905,0.1095,False,0.4178,0.2533
vietnam,30,5000,1.1837,1.2848,0.6566,0.8943,13.7275,0.8952,0.1048,False,0.4178,0.2533
