,,,percentile,p_value,significant,alpha,n_draws,random_mean,random_std,fscore,basis
random (full universe),sharpe,gross,0.892,0.108,False,0.05,1000,0.9844155951318667,0.15440255151721072,1.1837256650137569,gross
random (full universe),sharpe,net,0.892,0.108,False,0.05,1000,0.961273068816662,0.154360800027557,1.1602530482228788,net
random (full universe),ann_return,gross,0.76,0.24,False,0.05,1000,0.16258134242020847,0.02583126655874145,0.18040574193464476,gross
random (full universe),ann_return,net,0.761,0.239,False,0.05,1000,0.15876232019798625,0.02583126655874145,0.17682839713891732,net
random (non-F-Score names),sharpe,gross,0.92,0.08,False,0.05,1000,0.9599949265204025,0.1580188800241168,1.1837256650137569,gross
random (non-F-Score names),sharpe,net,0.919,0.081,False,0.05,1000,0.9369413843374973,0.15795818168403802,1.1602530482228788,net
random (non-F-Score names),ann_return,gross,0.802,0.198,False,0.05,1000,0.1591387502437641,0.026306270039125206,0.18040574193464476,gross
random (non-F-Score names),ann_return,net,0.803,0.197,False,0.05,1000,0.15531972802154184,0.026306270039125206,0.17682839713891732,net
