date,fscore_EW,fscore_GMV,fscore_GMVsec,fscore_high_EW,value_EW,universe_EW,universe_GMV,fscore_LS
2012,0.03445796378750998,-0.040418532333601376,0.002266157706770855,0.041071160810653096,0.023033135593269805,0.054335144263344404,-0.009784303248812964,0.00977590176100862
2013,0.34492326855868827,0.21909126127177814,0.27798978832176413,0.24684162762202555,0.31652622002249764,0.32600863182998263,0.12975682827589763,-0.024962278212437683
2014,0.1895342240121618,0.20516605742419758,0.23540594405400883,0.16501257641527967,0.08519753541790998,0.14077286796479282,0.1717088047340809,0.10196715603222817
2015,-0.025579809257565755,-0.04587577103314877,0.01149877497468732,-0.06876230351311274,-0.09449589693367177,0.004329462561014186,-0.026394374414721034,0.0192291835807763
2016,0.12710786277767605,0.07691790940645693,0.11273808811031794,0.18825076867954738,0.16148028094368416,0.1239299419921549,0.11662614140419536,-0.011698090712804143
2017,0.1823214825852042,0.14433244052564764,0.15432996366640972,0.2048377528877856,0.1325601422314433,0.19734793499361003,0.14728122412400202,0.01635006869126343
2018,-0.026024534633441565,-0.044714168322197434,-0.035423213361958084,-0.07125210993563524,-0.024076973613831543,-0.03056488559674153,-0.03272143687039086,-0.014179043721037177
2019,0.29030791004305967,0.2673861383603058,0.26796221533845177,0.3246430328498078,0.24333313192103678,0.25503533726095773,0.29247319662842375,0.048282521327277284
2020,0.07209158970210683,-0.029888207825607305,0.01542475278555977,0.05215180633025707,0.05899557561025648,0.13075595058309375,-0.02096373814524788,-0.07801493632549739
2021,0.2265622156117899,0.14843365009846798,0.1529679532470738,0.23642300158303575,0.3723348845001542,0.26147537371043095,0.06284516075703217,-0.10124202925902648
2022,-0.1287775201051924,-0.09281223576078146,-0.06749387577789179,-0.13934826880670692,-0.09243616877901528,-0.08839186651691444,-0.08531819176763233,-0.1216316376130071
2023,0.1121679081534106,0.04489604538141356,0.13488841055877798,0.09500564841906534,0.3236178333060231,0.18460387683628987,0.034079704428567004,-0.16134018091775504
2024,0.18686543575703407,0.1563364713234099,0.1935910142942061,0.17957117426074642,0.2222257903401319,0.17494743862881856,0.19929851720552616,-0.035618001253191034
2025,0.030067930181629343,0.03889237466880968,0.058293982362001895,0.03789475316333979,0.11675602002855046,0.060259322423857675,0.05649840603307443,0.061933993271940935
