,value
percentile,0.4666666666666667
p_value,0.5333333333333333
significant,False
alpha,0.05
n_draws,300
random_mean,-0.06148346068752847
random_std,0.11801975478556292
D_fscore,-0.07116015250293972
D_random_mean,-0.06148346068752847
D_random_std,0.11821694749581592
n,300
