,value
percentile,0.023333333333333334
p_value,0.9766666666666667
significant,False
alpha,0.05
n_draws,300
random_mean,-0.01573056892513828
random_std,0.11362536474276211
D_fscore,-0.21829844211654603
D_random_mean,-0.01573056892513828
D_random_std,0.11381521510864213
n,300
