year,universe,dropped_no_price,bm_coverage,k,value_fallback,value_basket_size,n_fscore_high,fscore_mean,fscore_basket_min,overlap_random_vs_fscore,overlap_expected
2003,53,8,0,25,True,53,7,5.566037735849057,6.0,0.47252000000000005,0.4716981132075472
2004,53,9,0,25,True,53,11,6.660377358490566,7.0,0.47368000000000005,0.4716981132075472
2005,59,8,0,25,True,59,25,7.084745762711864,8.0,0.42204,0.423728813559322
2006,60,5,0,25,True,60,17,6.683333333333334,7.0,0.41692,0.4166666666666667
2007,55,2,0,25,True,55,13,6.6909090909090905,7.0,0.45752000000000004,0.45454545454545453
2008,54,3,0,25,True,54,5,5.944444444444445,6.0,0.46248,0.46296296296296297
2009,64,4,0,25,True,64,10,5.96875,6.0,0.38992,0.390625
2010,73,4,0,25,True,73,0,4.671232876712328,5.0,0.34304,0.3424657534246575
2011,76,3,0,25,True,76,13,6.065789473684211,7.0,0.32524000000000003,0.32894736842105265
2012,78,3,0,25,True,78,22,6.769230769230769,7.0,0.31648,0.32051282051282054
2013,70,2,0,25,True,70,6,5.628571428571429,6.0,0.35612,0.35714285714285715
2014,72,2,0,25,True,72,12,5.972222222222222,7.0,0.3482,0.3472222222222222
2015,79,2,0,25,True,79,14,6.430379746835443,7.0,0.31668,0.31645569620253167
2016,77,2,0,25,True,77,15,6.259740259740259,7.0,0.3264,0.3246753246753247
2017,79,2,0,25,True,79,10,5.949367088607595,7.0,0.32028,0.31645569620253167
2018,82,1,0,25,True,82,18,6.475609756097561,7.0,0.30544,0.3048780487804878
2019,81,1,0,25,True,81,15,6.395061728395062,7.0,0.30608,0.30864197530864196
2020,79,0,0,25,True,79,4,5.6835443037974684,6.0,0.32072,0.31645569620253167
2021,77,0,0,25,True,77,2,5.0519480519480515,6.0,0.322,0.3246753246753247
2022,79,0,7,25,False,7,4,5.3924050632911396,6.0,0.31620000000000004,0.31645569620253167
2023,82,0,77,25,False,25,18,6.451219512195122,7.0,0.30308,0.3048780487804878
2024,79,0,76,25,False,25,13,6.050632911392405,7.0,0.31611999999999996,0.31645569620253167
2025,79,0,76,25,False,25,17,6.253164556962025,7.0,0.31552,0.31645569620253167
