,,,percentile,p_value,significant,alpha,n_draws,random_mean,random_std,fscore,basis
random (full universe),sharpe,gross,0.99,0.01,True,0.05,1000,0.9380327000773621,0.1658277387240711,1.3178930459464855,gross
random (full universe),sharpe,net,0.99,0.01,True,0.05,1000,0.9155632008874818,0.16576727758449214,1.2953654985489373,net
random (full universe),ann_return,gross,0.962,0.038,True,0.05,1000,0.1609705442269739,0.028519556464496762,0.20945923595224025,gross
random (full universe),ann_return,net,0.962,0.038,True,0.05,1000,0.15711747756030722,0.028519556464496765,0.2058788218357218,net
random (non-F-Score names),sharpe,gross,0.989,0.011,True,0.05,1000,0.9155341407761337,0.16448085880861593,1.3178930459464855,gross
random (non-F-Score names),sharpe,net,0.989,0.011,True,0.05,1000,0.8931495395639037,0.16443253245233574,1.2953654985489373,net
random (non-F-Score names),ann_return,gross,0.959,0.041,True,0.05,1000,0.157724096821328,0.028478273535625664,0.20945923595224025,gross
random (non-F-Score names),ann_return,net,0.959,0.041,True,0.05,1000,0.15387103015466133,0.028478273535625667,0.2058788218357218,net
