,,,percentile,p_value,significant,alpha,n_draws,random_mean,random_std,fscore,basis
random (full universe),sharpe,gross,0.446,0.554,False,0.05,1000,0.7225624502682724,0.050157910085924635,0.7157430298369558,gross
random (full universe),sharpe,net,0.447,0.553,False,0.05,1000,0.7095957418449866,0.050133843785276376,0.7030357330254209,net
random (full universe),ann_return,gross,0.553,0.447,False,0.05,1000,0.1425800071379094,0.009748137187926944,0.14394257908492625,gross
random (full universe),ann_return,net,0.553,0.447,False,0.05,1000,0.14002131824902048,0.009748137187926944,0.1413870235293707,net
random (non-F-Score names),sharpe,gross,0.414,0.586,False,0.05,1000,0.7248443052612218,0.04548235735541084,0.7157430298369558,gross
random (non-F-Score names),sharpe,net,0.417,0.583,False,0.05,1000,0.7117779361242742,0.04544810678833922,0.7030357330254209,net
random (non-F-Score names),ann_return,gross,0.585,0.415,False,0.05,1000,0.14192875798501917,0.008623614957019217,0.14394257908492625,gross
random (non-F-Score names),ann_return,net,0.585,0.415,False,0.05,1000,0.13937006909613028,0.008623614957019217,0.1413870235293707,net
