,,,percentile,p_value,significant,alpha,n_draws,random_mean,random_std,fscore,basis
random (full universe),sharpe,gross,0.464,0.536,False,0.05,5000,0.7818397901457947,0.07961766448611567,0.7726242226603456,gross
random (full universe),sharpe,net,0.4696,0.5304,False,0.05,5000,0.7623933113192852,0.07953985986400712,0.7546583385845431,net
random (full universe),ann_return,gross,0.6134,0.3866,False,0.05,5000,0.13997556644627765,0.01398528776645,0.1439606331496157,gross
random (full universe),ann_return,net,0.6174,0.3826,False,0.05,5000,0.1364940553351666,0.01398528776645,0.14061310666676802,net
random (non-F-Score names),sharpe,gross,0.443,0.557,False,0.05,5000,0.7851900122708678,0.07914158755159609,0.7726242226603456,gross
random (non-F-Score names),sharpe,net,0.4508,0.5492,False,0.05,5000,0.7656635225557362,0.07904116428488922,0.7546583385845431,net
random (non-F-Score names),ann_return,gross,0.6122,0.3878,False,0.05,5000,0.13998285750145306,0.01367662080921898,0.1439606331496157,gross
random (non-F-Score names),ann_return,net,0.6156,0.3844,False,0.05,5000,0.13650134639034195,0.01367662080921898,0.14061310666676802,net
