,value
percentile,0.8366666666666667
p_value,0.16333333333333333
significant,False
alpha,0.05
n_draws,300
random_mean,-0.24633931437662018
random_std,0.0921016458304754
D_fscore,-0.1554449129235802
D_random_mean,-0.24633931437662018
D_random_std,0.09225553339949359
n,300
