,value
percentile,0.05333333333333334
p_value,0.9466666666666667
significant,False
alpha,0.05
n_draws,300
random_mean,0.029284628256329825
random_std,0.1150051873522488
D_fscore,-0.16516858295064396
D_random_mean,0.029284628256329825
D_random_std,0.11519734318775572
n,300
