,,,percentile,p_value,significant,alpha,n_draws,random_mean,random_std,fscore,basis
random (full universe),sharpe,gross,0.679,0.321,False,0.05,1000,0.7275450674175368,0.0741185167460659,0.7646416055964067,gross
random (full universe),sharpe,net,0.682,0.318,False,0.05,1000,0.7120404520948682,0.07408113532732868,0.7496692947323845,net
random (full universe),ann_return,gross,0.735,0.265,False,0.05,1000,0.14390294369267365,0.01446924846667254,0.15346921362114263,gross
random (full universe),ann_return,net,0.737,0.263,False,0.05,1000,0.14083621035934032,0.014469248466672541,0.15046416032875665,net
random (non-F-Score names),sharpe,gross,0.768,0.232,False,0.05,1000,0.7142604971869445,0.07058545910471753,0.7646416055964067,gross
random (non-F-Score names),sharpe,net,0.768,0.232,False,0.05,1000,0.6986965420099548,0.07054034435007682,0.7496692947323845,net
random (non-F-Score names),ann_return,gross,0.827,0.173,False,0.05,1000,0.14072750642169116,0.013645176139850189,0.15346921362114263,gross
random (non-F-Score names),ann_return,net,0.83,0.17,False,0.05,1000,0.1376607730883578,0.013645176139850194,0.15046416032875665,net
