year,universe,dropped_no_price,bm_coverage,k,value_fallback,value_basket_size,n_fscore_high,fscore_mean,fscore_basket_min,overlap_random_vs_fscore,overlap_expected
2003,53,8,0,30,True,53,7,5.566037735849057,5.0,0.56455,0.5660377358490566
2004,53,9,0,30,True,53,11,6.660377358490566,7.0,0.5670000000000001,0.5660377358490566
2005,59,8,0,30,True,59,25,7.084745762711864,7.0,0.5084666666666666,0.5084745762711864
2006,60,5,0,30,True,60,17,6.683333333333334,7.0,0.50125,0.5
2007,55,2,0,30,True,55,13,6.6909090909090905,7.0,0.5439,0.5454545454545454
2008,54,3,0,30,True,54,5,5.944444444444445,6.0,0.5583166666666667,0.5555555555555556
2009,64,4,0,30,True,64,10,5.96875,6.0,0.4701166666666667,0.46875
2010,73,4,0,30,True,73,0,4.671232876712328,5.0,0.41086666666666666,0.410958904109589
2011,76,3,0,30,True,76,13,6.065789473684211,7.0,0.3938333333333333,0.39473684210526316
2012,78,3,0,30,True,78,22,6.769230769230769,7.0,0.38694999999999996,0.38461538461538464
2013,70,2,0,30,True,70,6,5.628571428571429,6.0,0.4312833333333333,0.42857142857142855
2014,72,2,0,30,True,72,12,5.972222222222222,7.0,0.4167666666666667,0.4166666666666667
2015,79,2,0,30,True,79,14,6.430379746835443,7.0,0.3782833333333333,0.379746835443038
2016,77,2,0,30,True,77,15,6.259740259740259,7.0,0.39176666666666665,0.38961038961038963
2017,79,2,0,30,True,79,10,5.949367088607595,6.0,0.37915,0.379746835443038
2018,82,1,0,30,True,82,18,6.475609756097561,7.0,0.36851666666666666,0.36585365853658536
2019,81,1,0,30,True,81,15,6.395061728395062,7.0,0.3738666666666666,0.37037037037037035
2020,79,0,0,30,True,79,4,5.6835443037974684,6.0,0.38003333333333333,0.379746835443038
2021,77,0,0,30,True,77,2,5.0519480519480515,5.0,0.38715,0.38961038961038963
2022,79,0,7,30,False,7,4,5.3924050632911396,6.0,0.37965,0.379746835443038
2023,82,0,77,30,False,30,18,6.451219512195122,7.0,0.36435,0.36585365853658536
2024,79,0,76,30,False,30,13,6.050632911392405,6.0,0.38038333333333335,0.379746835443038
2025,79,0,76,30,False,30,17,6.253164556962025,7.0,0.38003333333333333,0.379746835443038
