,ann_return,ann_vol,sharpe,max_drawdown,nominal_k,effective_n,turnover,cost_drag,net_ann_return,net_sharpe
fscore_EW,0.12534227977175116,0.15474096743676316,0.8100135461733743,-0.3459254055819404,30.0,30.0,0.6176392474677738,0.0024705569898710953,0.12287172278188006,0.7940477871969692
fscore_GMV,0.0932113640299792,0.14738970222877568,0.6324143588084477,-0.36542193880203466,30.0,7.488568090309277,0.7855968204933643,0.0031423872819734576,0.09006897674800575,0.6110940953541129
fscore_GMVsec,0.10050217579771425,0.14542082898364722,0.6911126590332934,-0.3558594675617198,30.0,9.198701012889492,0.7874528785238373,0.003149811514095349,0.0973523642836189,0.6694526840757201
fscore_high_EW,0.10702313202432401,0.16883227040990803,0.633902107485035,-0.3677935608731241,10.0,10.846153846153843,0.8472757260333119,0.0033891029041332476,0.10363402912019076,0.6138283212597782
value_EW,0.1353745905558228,0.16368538753093334,0.8270413907914635,-0.3446007005422135,30.0,30.0,0.22803404275184178,0.0009121361710073671,0.13446245438481544,0.8214688947686589
universe_EW,0.1331370236853573,0.15528379828886404,0.8573787165979249,-0.3278731668306666,69.0,72.38461538461539,0.10939049264822188,0.0004375619705928875,0.1326994617147644,0.8545608954510019
universe_GMV,0.07505566547330567,0.14330375570953738,0.5237522568873639,-0.36455215932764806,69.0,8.774957905480356,0.3560560720836404,0.0014242242883345615,0.0736314411849711,0.5138137574999415
fscore_LS,-0.022429941905496853,0.07091222337312442,-0.3163057204887719,-0.4037381585836629,60.0,60.00000000000001,1.2315393631242662,0.014926157452497065,-0.037356099357993916,-0.5267935143061923
