,value
percentile,0.41
p_value,0.59
significant,False
alpha,0.05
n_draws,300
random_mean,-0.06329071342832096
random_std,0.11385306320461648
D_fscore,-0.08750522304612918
D_random_mean,-0.06329071342832096
D_random_std,0.11404329401931965
n,300
