mkt,k,N,EW,uniEW,value,to_EW,effN_GMV,pct,p,sig,D,D_p
japan,20,1000,0.7646,0.754,0.6767,0.7513,5.1619,0.679,0.321,False,-0.2135,0.98
japan,20,2000,0.7646,0.754,0.6767,0.7513,5.1619,0.678,0.322,False,-0.2135,0.98
japan,20,5000,0.7646,0.754,0.6767,0.7513,5.1619,0.684,0.316,False,-0.2135,0.98
japan,25,1000,0.7639,0.754,0.7027,0.7066,5.1036,0.687,0.313,False,-0.1652,0.9467
japan,25,2000,0.7639,0.754,0.7027,0.7066,5.1036,0.6725,0.3275,False,-0.1652,0.9467
japan,25,5000,0.7639,0.754,0.7027,0.7066,5.1036,0.6872,0.3128,False,-0.1652,0.9467
japan,30,1000,0.7559,0.754,0.6921,0.698,5.7971,0.629,0.371,False,-0.0502,0.8533
japan,30,2000,0.7559,0.754,0.6921,0.698,5.7971,0.6385,0.3615,False,-0.0502,0.8533
japan,30,5000,0.7559,0.754,0.6921,0.698,5.7971,0.6252,0.3748,False,-0.0502,0.8533
