year,universe,dropped_no_price,bm_coverage,k,value_fallback,value_basket_size,n_fscore_high,fscore_mean,fscore_basket_min,tie_break_slots,overlap_random_vs_fscore,overlap_expected,cov_est_days,cov_min_est_days,delisted_in_holding_year,no_price_after_formation,long_short_run,short_leg_max_fscore
2012,303,26,303,30,False,30,25,4.696369636963697,7.0,5,0.10022666666666667,0.09900990099009901,749,374,7,0,True,2.0
2013,408,8,408,30,False,30,28,4.9068627450980395,7.0,2,0.07493333333333334,0.07352941176470588,746,373,18,0,True,2.0
2014,421,8,421,30,False,30,51,5.31353919239905,8.0,16,0.07146666666666666,0.07125890736342043,746,373,9,0,True,3.0
2015,457,16,457,30,False,30,67,5.573304157549234,8.0,19,0.06671333333333333,0.06564551422319474,743,371,4,0,True,3.0
2016,471,44,471,30,False,30,44,5.32484076433121,8.0,20,0.06388666666666667,0.06369426751592357,746,373,0,0,True,3.0
2017,510,43,510,30,False,30,60,5.345098039215686,8.0,17,0.05814,0.058823529411764705,749,374,5,0,True,3.0
2018,476,64,476,30,False,30,53,5.163865546218488,8.0,15,0.06247333333333334,0.06302521008403361,752,376,1,0,True,3.0
2019,546,40,546,30,False,30,52,5.245421245421245,8.0,17,0.05518,0.054945054945054944,748,374,2,0,True,3.0
2020,671,19,671,30,False,30,82,5.414307004470939,8.0,13,0.044226666666666664,0.044709388971684055,750,375,5,0,True,3.0
2021,856,20,856,30,False,30,87,5.389018691588785,8.0,7,0.03486666666666667,0.035046728971962614,751,375,16,0,True,2.0
2022,820,23,820,30,False,30,107,5.363414634146341,9.0,30,0.03728,0.036585365853658534,752,376,8,0,True,2.0
2023,841,15,841,30,False,30,132,5.397146254458978,9.0,30,0.035666666666666666,0.0356718192627824,750,375,9,0,True,2.0
2024,848,9,848,30,False,30,63,5.005896226415095,8.0,19,0.03460666666666667,0.03537735849056604,747,373,11,0,True,2.0
