,cum_return,ann_return,ann_vol,sharpe,max_drawdown,net_ann_return,net_sharpe
fscore_EW,0.49347949472933816,0.09383392367818355,0.1476755366111934,0.6354060112558358,-0.2757799491779114,0.09115392367818355,0.6172581171529959
fscore_GMV,0.5123525418673742,0.09690967283234642,0.12892960993679023,0.7516479176494671,-0.20122415732678323,0.09422967283234641,0.730861381482066
fscore_GMVsec,0.5758271719412005,0.10704024723738881,0.12661044940210134,0.8454298025389702,-0.21478714484142014,0.1043602472373888,0.8242625133250396
fscore_high_EW,0.3510402044448746,0.06959102600412326,0.1559515889715132,0.446234799292972,-0.2334463521802641,0.06691102600412326,0.42904997919800303
value_EW,0.5624029745758685,0.10492451412127846,0.16080444172649905,0.6524976113516638,-0.2384316648768502,0.10224451412127845,0.6358314050502345
universe_EW,0.5360362260170988,0.10072753137253043,0.14469494184662926,0.6961371979353467,-0.20683372364690444,0.09804753137253043,0.6776154723947214
universe_GMV,0.3306827304622011,0.06596604517280946,0.12562597446261792,0.5250987739994706,-0.15249579013238101,0.06328604517280946,0.503765606145736
