date,fscore_EW,fscore_GMV,fscore_GMVsec,fscore_high_EW,value_EW,universe_EW,universe_GMV
2012,0.06836778827581602,0.01470494525424848,0.003387147489119169,0.06836778827581602,-0.03489240294401563,-0.068973672859581,0.03488793916554922
2013,0.5614419205235137,0.3897437491738136,0.3869974165122678,0.582811080731064,0.3677139758153032,0.37878888337861727,0.2815867486250532
2014,0.590801727756648,0.7151182477932816,0.7146963897249801,0.49475270888218903,0.3722022594688048,0.3598689926211194,0.31995720811923656
2015,0.28322037996175053,0.42617881627944376,0.5049823060532606,0.22338941815238256,-0.012017583533728948,0.11508241802923624,0.2957250307532695
2016,0.17294354056668304,0.3910548271490282,0.4313053401732265,0.15975777394488322,-0.0018108512257700715,0.1847535781201879,0.39774992953686916
2017,0.13962859456857046,0.12651708949561158,0.10061671290911534,0.18660497330320758,0.1602882253953435,0.23540461881228403,0.15958186155891552
2018,0.032500083378190325,0.08693552890602363,0.05637701038600662,0.022931465358249747,-0.23597108440044756,-0.0014888059427535794,0.06985163674803974
2019,0.05023461023806952,0.04257800532504752,0.11006753686421655,0.02773768225746398,0.1279453903318799,0.08951096410187875,0.06499978856460742
2020,0.623213175651536,0.3900640569689646,0.47560076310811517,0.45643886311912696,0.8746154696696065,0.32939873720688606,0.16461864414816563
2021,0.36515119406744323,0.2923550935602257,0.21146429103560638,0.612493158782561,3.4904269827902086,0.9984465753701735,0.6571055077801569
2022,-0.30559761301357025,0.010114322793952413,-0.22110085741066665,-0.34145058194554134,-0.6309585526409391,-0.38750804614227596,-0.15400637316032173
2023,0.20911933401538474,0.17416894894753798,0.18707927606994312,0.23585034875252098,0.07715648143980092,0.1782531917857244,0.13145563907628333
2024,0.14362087219322328,0.2385682589787692,0.16916545450946008,0.24852660929686787,0.04006186736698414,0.14984593469076524,0.17798662150730782
2025,0.09382803504094572,0.08997345954019509,0.09325665467903499,0.07457867906067928,0.15056037405000589,0.0542058222484032,0.03228706922364344
