,,percentile,p_value,n_draws,random_mean,random_std,fscore
random (full universe),sharpe,0.895,0.105,2000.0,1.0513827773573647,0.147007889646493,1.2376633945092776
random (full universe),ann_return,0.9165,0.0835,2000.0,0.1948538399996672,0.027180899528179037,0.2327822983580501
random (non-F-Score names),sharpe,0.979,0.021,2000.0,0.9635220913211399,0.13158137889915694,1.2376633945092776
random (non-F-Score names),ann_return,0.9885,0.0115,2000.0,0.17780073308382133,0.023675364538580546,0.2327822983580501
