,,,percentile,p_value,significant,alpha,n_draws,random_mean,random_std,fscore,basis
random (full universe),sharpe,gross,0.1615,0.8385,False,0.05,2000,0.819283493804583,0.08873049480637181,0.7345129033036261,gross
random (full universe),sharpe,net,0.161,0.839,False,0.05,2000,0.8011688350293076,0.08862937492087779,0.7164191534809,net
random (full universe),ann_return,gross,0.1345,0.8655,False,0.05,2000,0.13207140729913602,0.013810980291912724,0.11753833296762917,gross
random (full universe),ann_return,net,0.135,0.865,False,0.05,2000,0.12915067396580263,0.013810980291912718,0.1146429322446041,net
random (non-F-Score names),sharpe,gross,0.086,0.914,False,0.05,2000,0.8484488182163169,0.08388607693675505,0.7345129033036261,gross
random (non-F-Score names),sharpe,net,0.086,0.914,False,0.05,2000,0.830460065849699,0.0838135059535132,0.7164191534809,net
random (non-F-Score names),ann_return,gross,0.062,0.938,False,0.05,2000,0.13775187618536194,0.01330847167378019,0.11753833296762917,gross
random (non-F-Score names),ann_return,net,0.062,0.938,False,0.05,2000,0.13483114285202857,0.013308471673780187,0.1146429322446041,net
