,,percentile,p_value,n_draws,random_mean,random_std,fscore
random (full universe),sharpe,0.78,0.22,2000.0,1.0402528444819041,0.1719641161316833,1.1747869500373702
random (full universe),ann_return,0.8085,0.1915,2000.0,0.19419520438998208,0.03140360196858981,0.22153191670514727
random (non-F-Score names),sharpe,0.87,0.13,2000.0,0.9910336862188078,0.1580402098146463,1.1747869500373702
random (non-F-Score names),ann_return,0.8885,0.1115,2000.0,0.1848420880775078,0.029230377093132323,0.22153191670514727
