year,universe,dropped_no_price,bm_coverage,k,value_fallback,value_basket_size,n_fscore_high,fscore_mean,fscore_basket_min,tie_break_slots,overlap_random_vs_fscore,overlap_expected,cov_est_days,cov_min_est_days,delisted_in_holding_year,no_price_after_formation,long_short_run,short_leg_max_fscore
2012,178,2,178,20,False,20,9,5.404494382022472,7.0,11,0.11632499999999998,0.11235955056179775,756,378,0,0,True,4.0
2013,184,0,184,20,False,20,16,5.358695652173913,7.0,4,0.10845,0.10869565217391304,753,376,0,0,True,4.0
2014,181,1,181,20,False,20,14,5.447513812154696,7.0,6,0.10994999999999999,0.11049723756906077,752,376,0,0,True,4.0
2015,192,1,192,20,False,20,14,5.46875,7.0,6,0.104125,0.10416666666666667,753,376,0,0,True,4.0
2016,204,3,204,20,False,20,9,5.147058823529412,7.0,11,0.09855,0.09803921568627451,756,378,0,0,True,3.0
2017,209,1,209,20,False,20,14,5.444976076555024,7.0,6,0.09495,0.09569377990430622,756,378,0,0,True,4.0
2018,229,1,229,20,False,20,16,5.606986899563319,7.0,4,0.0865,0.08733624454148471,755,377,0,0,True,4.0
2019,229,0,228,20,False,20,17,5.655021834061135,7.0,3,0.086775,0.08733624454148471,752,376,0,0,True,4.0
2020,252,2,252,20,False,20,20,5.51984126984127,8.0,18,0.078275,0.07936507936507936,754,377,0,0,True,4.0
2021,263,0,263,20,False,20,16,5.212927756653992,7.0,4,0.077125,0.07604562737642585,755,377,0,0,True,3.0
2022,270,1,270,20,False,20,39,5.966666666666667,8.0,17,0.074675,0.07407407407407407,756,378,0,0,True,4.0
2023,281,0,281,20,False,20,17,5.202846975088968,7.0,3,0.070525,0.0711743772241993,754,377,0,0,True,3.0
2024,281,3,281,20,False,20,31,5.665480427046264,8.0,15,0.07165,0.0711743772241993,752,376,0,0,True,3.0
