mkt,k,N,EW,uniEW,value,to_EW,effN_GMV,pct,p,sig,D,D_p
us,20,1000,0.7218,0.8131,0.9884,0.8685,5.0217,0.324,0.676,False,-0.1006,0.5967
us,20,2000,0.7218,0.8131,0.9884,0.8685,5.0217,0.3245,0.6755,False,-0.1006,0.5967
us,20,5000,0.7218,0.8131,0.9884,0.8685,5.0217,0.334,0.666,False,-0.1006,0.5967
us,25,1000,0.704,0.8131,0.9288,0.8515,5.8932,0.205,0.795,False,-0.0712,0.5333
us,25,2000,0.704,0.8131,0.9288,0.8515,5.8932,0.2065,0.7935,False,-0.0712,0.5333
us,25,5000,0.704,0.8131,0.9288,0.8515,5.8932,0.215,0.785,False,-0.0712,0.5333
us,30,1000,0.7726,0.8131,0.8985,0.8369,6.7984,0.472,0.528,False,-0.0875,0.59
us,30,2000,0.7726,0.8131,0.8985,0.8369,6.7984,0.475,0.525,False,-0.0875,0.59
us,30,5000,0.7726,0.8131,0.8985,0.8369,6.7984,0.464,0.536,False,-0.0875,0.59
