,,,percentile,p_value,significant,alpha,n_draws,random_mean,random_std,fscore,basis
random (full universe),sharpe,gross,0.9852,0.0148,True,0.05,5000,0.9424358462324147,0.1666646825215355,1.3178930459464855,gross
random (full universe),sharpe,net,0.9852,0.0148,True,0.05,5000,0.9199537059996548,0.1666338531147812,1.2953654985489373,net
random (full universe),ann_return,gross,0.9492,0.0508,False,0.05,5000,0.16167716860855627,0.02894595262945607,0.20945923595224025,gross
random (full universe),ann_return,net,0.9494,0.0506,False,0.05,5000,0.15782410194188962,0.02894595262945607,0.2058788218357218,net
random (non-F-Score names),sharpe,gross,0.9948,0.0052,True,0.05,5000,0.9123885195162975,0.15837778632396957,1.3178930459464855,gross
random (non-F-Score names),sharpe,net,0.9948,0.0052,True,0.05,5000,0.8899659956187145,0.15835191911734608,1.2953654985489373,net
random (non-F-Score names),ann_return,gross,0.9676,0.0324,True,0.05,5000,0.1569536747291418,0.027620195835029476,0.20945923595224025,gross
random (non-F-Score names),ann_return,net,0.968,0.032,True,0.05,5000,0.1531006080624751,0.02762019583502948,0.2058788218357218,net
