,,,percentile,p_value,significant,alpha,n_draws,random_mean,random_std,fscore,basis
random (full universe),sharpe,gross,0.1825,0.8175,False,0.05,2000,0.8128106332016144,0.07581150886420368,0.7416953951522,gross
random (full universe),sharpe,net,0.181,0.819,False,0.05,2000,0.7965545777722136,0.07568830174383553,0.7251980673113201,net
random (full universe),ann_return,gross,0.1295,0.8705,False,0.05,2000,0.13301878929885982,0.01167030045095933,0.11988937882239759,gross
random (full universe),ann_return,net,0.1295,0.8705,False,0.05,2000,0.13035766929885984,0.011670300450959334,0.11722271215573092,net
random (non-F-Score names),sharpe,gross,0.053,0.947,False,0.05,2000,0.8410795286732142,0.062426370038517046,0.7416953951522,gross
random (non-F-Score names),sharpe,net,0.0525,0.9475,False,0.05,2000,0.8250414696357988,0.06233704364585633,0.7251980673113201,net
random (non-F-Score names),ann_return,gross,0.0215,0.9785,False,0.05,2000,0.13953901634912608,0.009828787333678075,0.11988937882239759,gross
random (non-F-Score names),ann_return,net,0.0215,0.9785,False,0.05,2000,0.1368778963491261,0.009828787333678077,0.11722271215573092,net
