year,universe,dropped_no_price,bm_coverage,k,value_fallback,value_basket_size,n_fscore_high,fscore_mean,fscore_basket_min,tie_break_slots,overlap_random_vs_fscore,overlap_expected,cov_est_days,cov_min_est_days,delisted_in_holding_year,no_price_after_formation,long_short_run,short_leg_max_fscore
2012,80,2,80,25,False,25,23,6.775,7.0,2,0.31134,0.3125,733,366,0,0,True,6.0
2013,82,2,82,25,False,25,7,5.7439024390243905,7.0,18,0.30394,0.3048780487804878,734,367,0,0,True,5.0
2014,82,2,82,25,False,25,16,6.146341463414634,7.0,9,0.3043,0.3048780487804878,736,368,0,0,True,5.0
2015,82,2,82,25,False,25,15,6.487804878048781,7.0,10,0.30506,0.3048780487804878,735,367,0,0,True,6.0
2016,82,2,82,25,False,25,15,6.2317073170731705,7.0,10,0.30756,0.3048780487804878,734,367,0,0,True,5.0
2017,84,1,84,25,False,25,13,5.988095238095238,7.0,12,0.29582,0.2976190476190476,735,367,0,0,True,5.0
2018,85,1,85,25,False,25,19,6.458823529411765,7.0,6,0.29378,0.29411764705882354,750,375,0,0,True,6.0
2019,84,2,84,25,False,25,13,6.309523809523809,7.0,12,0.29616,0.2976190476190476,753,376,0,0,True,6.0
2020,83,1,83,25,False,25,4,5.662650602409639,6.0,5,0.29712,0.30120481927710846,751,375,0,0,True,5.0
2021,85,1,85,25,False,25,2,5.08235294117647,6.0,11,0.29458,0.29411764705882354,735,367,0,0,True,4.0
2022,86,1,86,25,False,25,4,5.441860465116279,6.0,3,0.28964,0.29069767441860467,730,365,0,0,True,5.0
2023,86,0,86,25,False,25,18,6.4186046511627906,7.0,7,0.28878,0.29069767441860467,733,366,0,0,True,6.0
2024,85,0,85,25,False,25,13,6.047058823529412,7.0,12,0.2909,0.29411764705882354,733,366,0,0,True,5.0
