,value
percentile,0.7166666666666667
p_value,0.2833333333333333
significant,False
alpha,0.05
n_draws,300
random_mean,-0.2513325202992716
random_std,0.09554269394061922
D_fscore,-0.19722514566681715
D_random_mean,-0.2513325202992716
D_random_std,0.09570233096746489
n,300
