,value
percentile,0.67
p_value,0.33
significant,False
alpha,0.05
n_draws,300
random_mean,-0.24822615425348285
random_std,0.09178411803922464
D_fscore,-0.20740857551856673
D_random_mean,-0.24822615425348285
D_random_std,0.09193747506853911
n,300
