,,percentile,p_value,n_draws,random_mean,random_std,fscore
random (full universe),sharpe,0.901,0.099,1000.0,1.0478329384575553,0.14864997174654354,1.2376633945092776
random (full universe),ann_return,0.918,0.082,1000.0,0.19412151996877236,0.027568598010593016,0.2327822983580501
random (non-F-Score names),sharpe,0.985,0.015,1000.0,0.9614116967642969,0.13378427486338615,1.2376633945092776
random (non-F-Score names),ann_return,0.993,0.007,1000.0,0.17734817844877124,0.024405694352638337,0.2327822983580501
