,value
percentile,0.02
p_value,0.98
significant,False
alpha,0.05
n_draws,300
random_mean,0.0195138521711333
random_std,0.12702377360970113
D_fscore,-0.2135265519885695
D_random_mean,0.0195138521711333
D_random_std,0.12723601063925752
n,300
