,value
percentile,0.95
p_value,0.05
significant,False
alpha,0.05
n_draws,300
random_mean,-0.23362588742413795
random_std,0.09778874764056301
D_fscore,-0.07305703074498093
D_random_mean,-0.23362588742413795
D_random_std,0.09795213747487105
n,300
