,value
percentile,0.6
p_value,0.4
significant,False
alpha,0.05
n_draws,300
random_mean,-0.23697965482202885
random_std,0.10864341158992234
D_fscore,-0.2163104541234533
D_random_mean,-0.23697965482202885
D_random_std,0.10882493788457932
n,300
