year,universe,dropped_no_price,bm_coverage,k,value_fallback,value_basket_size,n_fscore_high,fscore_mean,fscore_basket_min,tie_break_slots,overlap_random_vs_fscore,overlap_expected,cov_est_days,cov_min_est_days,delisted_in_holding_year,no_price_after_formation,long_short_run,short_leg_max_fscore
2012,80,2,80,20,False,20,23,6.775,8.0,13,0.24842499999999998,0.25,733,366,0,0,True,6.0
2013,82,2,82,20,False,20,7,5.7439024390243905,7.0,13,0.24489999999999998,0.24390243902439024,734,367,0,0,True,5.0
2014,82,2,82,20,False,20,16,6.146341463414634,7.0,4,0.24295,0.24390243902439024,736,368,0,0,True,5.0
2015,82,2,82,20,False,20,15,6.487804878048781,7.0,5,0.24365,0.24390243902439024,735,367,0,0,True,6.0
2016,82,2,82,20,False,20,15,6.2317073170731705,7.0,5,0.24227500000000002,0.24390243902439024,734,367,0,0,True,5.0
2017,84,1,84,20,False,20,13,5.988095238095238,7.0,7,0.23645,0.23809523809523808,735,367,0,0,True,5.0
2018,85,1,85,20,False,20,19,6.458823529411765,7.0,1,0.236,0.23529411764705882,750,375,0,0,True,6.0
2019,84,2,84,20,False,20,13,6.309523809523809,7.0,7,0.239975,0.23809523809523808,753,376,0,0,True,6.0
2020,83,1,83,20,False,20,4,5.662650602409639,7.0,16,0.241075,0.24096385542168675,751,375,0,0,True,5.0
2021,85,1,85,20,False,20,2,5.08235294117647,6.0,6,0.23504999999999998,0.23529411764705882,735,367,0,0,True,4.0
2022,86,1,86,20,False,20,4,5.441860465116279,7.0,16,0.23125,0.23255813953488372,730,365,0,0,True,5.0
2023,86,0,86,20,False,20,18,6.4186046511627906,7.0,2,0.23199999999999998,0.23255813953488372,733,366,0,0,True,6.0
2024,85,0,85,20,False,20,13,6.047058823529412,7.0,7,0.23575,0.23529411764705882,733,366,0,0,True,5.0
