,,,percentile,p_value,significant,alpha,n_draws,random_mean,random_std,fscore,basis
random (full universe),sharpe,gross,0.9842,0.0158,True,0.05,5000,0.8907494924837395,0.1760306329047499,1.2856049015603284,gross
random (full universe),sharpe,net,0.9844,0.0156,True,0.05,5000,0.869248569169928,0.17600079080693715,1.2641109718375863,net
random (full universe),ann_return,gross,0.9462,0.0538,False,0.05,5000,0.16100068056204705,0.03220332504308174,0.214313730278352,gross
random (full universe),ann_return,net,0.947,0.053,False,0.05,5000,0.15711898056204707,0.032203325043081744,0.2107306354631169,net
random (non-F-Score names),sharpe,gross,0.9874,0.0126,True,0.05,5000,0.8680287226797664,0.175889451237377,1.2856049015603284,gross
random (non-F-Score names),sharpe,net,0.9872,0.0128,True,0.05,5000,0.846578234488291,0.1758625484383556,1.2641109718375863,net
random (non-F-Score names),ann_return,gross,0.9598,0.0402,True,0.05,5000,0.15726848028528642,0.032228178262533554,0.214313730278352,gross
random (non-F-Score names),ann_return,net,0.9602,0.0398,True,0.05,5000,0.15338678028528643,0.032228178262533554,0.2107306354631169,net
