year,universe,dropped_no_price,bm_coverage,k,value_fallback,value_basket_size,n_fscore_high,fscore_mean,fscore_basket_min,tie_break_slots,overlap_random_vs_fscore,overlap_expected,cov_est_days,cov_min_est_days,delisted_in_holding_year,no_price_after_formation,long_short_run,short_leg_max_fscore
2012,303,26,303,20,False,20,25,4.696369636963697,8.0,14,0.06683,0.066006600660066,749,374,7,0,False,
2013,408,8,408,20,False,20,28,4.9068627450980395,8.0,13,0.04938,0.049019607843137254,746,373,18,0,False,
2014,421,8,421,20,False,20,51,5.31353919239905,8.0,6,0.04573,0.047505938242280284,746,373,9,0,False,
2015,457,16,457,20,False,20,67,5.573304157549234,8.0,9,0.0454,0.0437636761487965,743,371,4,0,False,
2016,471,44,471,20,False,20,44,5.32484076433121,8.0,10,0.04199,0.04246284501061571,746,373,0,0,False,
2017,510,43,510,20,False,20,60,5.345098039215686,8.0,7,0.03824,0.0392156862745098,749,374,5,0,False,
2018,476,64,476,20,False,20,53,5.163865546218488,8.0,5,0.04263,0.04201680672268908,752,376,1,0,False,
2019,546,40,546,20,False,20,52,5.245421245421245,8.0,7,0.036559999999999995,0.03663003663003663,748,374,2,0,False,
2020,671,19,671,20,False,20,82,5.414307004470939,8.0,3,0.029820000000000003,0.029806259314456036,750,375,5,0,False,
2021,856,20,856,20,False,20,87,5.389018691588785,9.0,20,0.02338,0.02336448598130841,751,375,16,0,False,
2022,820,23,820,20,False,20,107,5.363414634146341,9.0,20,0.02445,0.024390243902439025,752,376,8,0,False,
2023,841,15,841,20,False,20,132,5.397146254458978,9.0,20,0.02411,0.023781212841854936,750,375,9,0,False,
2024,848,9,848,20,False,20,63,5.005896226415095,8.0,9,0.02356,0.02358490566037736,747,373,11,0,False,
