year,universe,dropped_no_price,bm_coverage,k,value_fallback,value_basket_size,n_fscore_high,fscore_mean,fscore_basket_min,tie_break_slots,overlap_random_vs_fscore,overlap_expected,cov_est_days,cov_min_est_days,delisted_in_holding_year,no_price_after_formation,long_short_run,short_leg_max_fscore
2012,78,3,0,20,True,78,22,6.769230769230769,8.0,14,0.25813,0.2564102564102564,733,366,0,0,True,6.0
2013,73,2,0,20,True,73,6,5.671232876712328,7.0,14,0.27372,0.273972602739726,734,367,0,0,True,5.0
2014,81,2,0,20,True,81,16,6.148148148148148,7.0,4,0.24792999999999998,0.24691358024691357,736,368,0,0,True,5.0
2015,80,2,0,20,True,80,15,6.4625,7.0,5,0.25138,0.25,735,367,0,0,True,5.0
2016,79,2,0,20,True,79,16,6.265822784810126,7.0,4,0.25128,0.25316455696202533,734,367,0,0,True,5.0
2017,82,2,0,20,True,82,12,5.975609756097561,7.0,8,0.24379,0.24390243902439024,735,367,0,0,True,5.0
2018,82,1,0,20,True,82,18,6.475609756097561,7.0,2,0.2424,0.24390243902439024,750,375,0,0,True,6.0
2019,83,1,0,20,True,83,15,6.409638554216867,7.0,5,0.24346,0.24096385542168675,753,376,0,0,True,6.0
2020,81,0,0,20,True,81,4,5.716049382716049,7.0,16,0.24842,0.24691358024691357,751,375,0,0,True,5.0
2021,81,0,0,20,True,81,1,5.074074074074074,6.0,6,0.24645999999999998,0.24691358024691357,735,367,0,0,True,4.0
2022,82,0,7,20,False,7,4,5.414634146341464,7.0,16,0.24355000000000002,0.24390243902439024,730,365,0,0,True,5.0
2023,84,1,79,20,False,20,18,6.440476190476191,7.0,2,0.23696,0.23809523809523808,733,366,0,0,True,6.0
2024,81,0,78,20,False,20,13,6.049382716049383,7.0,7,0.24596,0.24691358024691357,733,366,0,0,True,5.0
2025,82,0,79,20,False,20,17,6.219512195121951,7.0,3,0.24348999999999998,0.24390243902439024,733,366,0,0,True,5.0
