,value
percentile,0.01
p_value,0.99
significant,False
alpha,0.05
n_draws,300
random_mean,0.04432447987697918
random_std,0.10773667176477954
D_fscore,-0.20247773972451377
D_random_mean,0.04432447987697918
D_random_std,0.10791668303778663
n,300
