,,percentile,p_value,n_draws,random_mean,random_std,fscore
random (full universe),sharpe,0.5995,0.4005,2000.0,1.0589795388789203,0.1322473743098901,1.089879799542853
random (full universe),ann_return,0.609,0.391,2000.0,0.1953576041996819,0.024040166708736703,0.2014483618831513
random (non-F-Score names),sharpe,0.716,0.284,2000.0,1.03323091705907,0.10183755376731685,1.089879799542853
random (non-F-Score names),ann_return,0.7235,0.2765,2000.0,0.1911312240005546,0.01841638206968138,0.2014483618831513
