,value
percentile,0.8933333333333333
p_value,0.10666666666666667
significant,False
alpha,0.05
n_draws,300
random_mean,0.15503233282325427
random_std,0.22495391156689376
D_fscore,0.409045769377433
D_random_mean,0.15503233282325427
D_random_std,0.22532977467205345
n,300
